,text,rated,coloring,date,bank,theme,name,sex
10,"При оформлении потребительского кредита в Промсвязьбанке 05. 07. 2018г служащая предоставила мне неполную и недостоверную информацию. А именно- что без страховки, возможно ,в кредите мне откажут. Что страховая сумма является возвратной. Не поставила меня в известность ,что буду включена в договор коллективного страхования. Что сумма кредита увеличится на 65 тысяч рублей, что на эту сумму я так же буду выплачивать банку 20. 077% годовых. Позже я позвонила по тел горячей линии банка 88000330303 и мне были принесены извинения за некомпетентность сотрудника и сообщено что страховая сумма не является возвратной. (есть аудиозапись разговора) Согласие на увеличение суммы кредита на 65 тыс рублей за счет комиссии банка за посреднические услуги со страховой компанией я не давала. При этом страховая премия Ингосстрах Жизнь составила всего 6 тысяч рублей. Увеличение суммы кредита несет дополнительные финансовые издержки. Положение ст. 1 закона РФ О защите прав потребителей. О недействительности условий договора ущемляющих права потребителей соответствует общим правилам недействительности сделки или ее части.</li> Страховая компания Ингосстрах Жизнь действует в сговоре с Промсвязьбанком. Обратившись по телефону в страховую компанию с просьбой прекратить договор страхования  получила ответ -- ждем распоряжение от банка. (есть аудиозапись разговора) Со мной как с клиентом разговаривать не стали.</li> Кредитный договор составлен с нарушением федеральных законов и изданных в соответствии  с ними нормативных актов и предписаний РФ. п 4 ст 29 Закона №395-1 запрещает банкам включать в договор условия о праве банка увеличивать процентную ставку. Договор клиента не скреплен печатью банка. При повторном визите в банк мне отказались поставить печать на договоре сославшись на то -- что мы печать клиентам не ставим. г я написала заявление в банк об отказе от страховки и возврате страховой премии и комиссии банка. На втором экземпляре мне проставили вх № и подпись . Однако сообщили что заявление рассматривается месяц. А согласно законодательству - 5 дней.  В связи с тем что период охлаждения заканчивается я намерена  в ближайшие часы обратиться с онлайн жалобами в Роспотребнадзор  с грифом --- для проведения внеплановой проверки htlp:rospotrebnadzor. ru и Центробанк. При отказе банка о возврате денег  обязательно буду обращатся в суд.</li>",1,bad,"17 июля, 2018",promsvjazbank,Кредиты наличными,Татьяна,female
11,"Я столкнулась с обманом в банке ВТБ. Менеджер банка Ш-ва Наталья Александровна , зная что у меня подходит срок окончания вклада, заранее позвонила и пригласила к себе. Предложила новый вклад на длительный срок с фиксированным доходом, если что-то со мной , то наследники сразу же получат деньги и проценты через полгода буду получать. Как настоящий ""лох"" я ей доверилась и подписала всё не читая.Через полгода, когда я пришла за процентами, она от всего отказалась. Вот только тогда я прочитала те бумажки,напечатанные миллиметровым шрифтом....она мне подсунула страхование жизни, не сказав ни условия страхования, ни права, ни обязанности, не поинтересовалась моим состоянием здоровья. Чувство есть что у меня деньги украли.Вот так теперь с пожилыми людьми обращаются и в банках, будьте бдительны.",1,bad,"16 июля, 2018",vtb,Обслуживание,,unkn
12,"Произвёл 12.07.18 оплату штрафа ГБДД через личный кабинет интернет-банка РНКБ. В таблице заполнения указано «комиссия 00.0 руб» , а после оплаты снята комиссия 2% !??  Позвонил на горячую линию, робот отвечает, обещают  ответить через 1 мин, никто так и не ответил в течении 10мин, в конце просто отключили и так три раза. После этого заказал обратный звонок, перезвонили и в итоге Юлия объяснила что банк процентов НЕ БЕРЁТ , а берут  какие то поставщики услуг!? На вопросы как такое может произойти, что без моего согласия «поставщики» могут через ваш банк брать проценты, Юлия ответила что сейчас проконсультируется и попросила подождать на линии, через 20сек бросила трубку и больше не перезвонила. Видимо ответа НЕТ, да и по логике его и не может быть. <ins><strong>Разводят как лохов нашего брата!</strong></ins> Буду обращаться официально. Севастополь.",1,bad,"12 июля, 2018",rnkb,Обслуживание,Владимир,male
13,"Для начала я обратилась на горячую линию о заявке на открытие ""Сверхкарта +"". Меня проинформировали, что оставить заявку я могу тольно лично в отделении банка. Я обратилась в самый ближайший офис банка по ул. 70 лет Октября, 15.  По данному моему вопросу обслуживало только одно окно. Несколько раз меня спрашивали по какому вопросу я обращаюсь, в том числе директор банка. Потеряла пол дня свободного времени. В итоге после заполнения анкеты, как проинформировала меня менеджер, дожны со мной связаться на следующий день и сказать решение банка. Уже прошла неделя, так и ни кто со мной не связался. Позвонив нагорячую линию. Мне некоректно сказали, что у них нет информации о падаче моей заявки. После моей настойчивости, соеденили с другим оператором. Она сказала, что я пока не являюсь их клиентом банка. Контактов с банком на прямую нет. Это опять ехать в отделение и терять пол дня... Я очень возмущена от вашего безразличного обслуживания вашего персанола.",1,bad,"11 июля, 2018",rosbank,Дебетовые карты,Елена,female
14,"Без предупреждения сняли деньги за смс-информирование., который я год отключала, так и не отключили. Заявления уже устала писать. Ужасный банк!! Не советую никому!!!! Верните мне мои деньги.",1,bad,"10 июля, 2018",promsvjazbank,Дебетовые карты,К,female
15,добрый день! хочу поделиться ситуацией 2 Июля меня облаял мой начальник по поводу что я высказал недовольство на горячей линии банка Левобережный по поводу закрытия карты платежной системы VISA  без какого либо предупреждения. Банк с чего то взял что может звонить в организацию и жаловаться на сотрудника начальству!!! Мол воспитанием банк занимается в добавок. Вообщем судите сами думаю навряд ли кому-то понравилось бы  такое!!! Я в жизни ни копейки в этот банк не понесу!!!! к моему сожалению  з\п мне через Левобережный выдают. Но я впредь всем близким друзьям и просто знакомым будку отговаривать хоть каким то нибыло образом встречаться с банком Левобережный!!!!,1,bad,"05 июля, 2018",levoberezhnyj,Дистанционное обслуживание,Иван,male
16,"Приложение ВТБ БМ Бизнес не работает уже три месяца! В службе поддержки и в банке продолжают кормить завтраками, и рекомендовали перейти на Android! Очень не солидно! Нет возможности оперативно получить информацию и доступ ко своим счетам и банку. И это один из крупнейших банков России?! У вас что нет нормальных разработчиков?! Думаем уходить в Альфа.",1,bad,"04 июля, 2018",vtb,Дистанционное обслуживание,,unkn
17,"О Боже, какое счастье! Не дай Бог такого «счастья» нашей военной промышленности. Мною полностью погашена Ипотека 28.06.2018, закладная в банке потеряна(хотя у меня на руках есть расписка от Вашего менеджера, что он её принял в отделение банка(за что спасибо моему юристу)). Мне предложили менеджера, который поедет со мной снимать обременение. Но вот незадача у них нет доверенности, какая неожиданность))) Это судя по отзывам типичный рассказ, сначала обещали после 1го июля, теперь говорят, что и на этой неделе точно не будет. По официальному запросу на ipoteka_v мне ответили, что к сожалению доверенности пока нет. Мне это мешает для дальнейших действий с объектом недвижимости и срывает уже новый договор. Это сама проблема, ниже пожелание для Ваших надеюсь НЕ клиентов. Мне смешно уже от Вашей клиентоориентированности, сначала Ваш банк просто так мне поднял платеж ежемесячный на 4 тысячи, причём перед Новым годом, как раз выходные, видимо чтобы не заметили, после моих жалоб, звонков пришёл официальный ответ, что это была техническая ошибка, но Внимание!!! Мне его всё равно сделали на 100 рублей больше)))) Об уровне общения менеджеров можно говорить сутками, в прошлый раз при разговоре на человека просто наорали, я прекрасно понимаю, что загрузка большая, но это ВАША РАБОТА. За скобками оставим, что о новых всяческих страховках каждый год я сама узнавала звоня в банк(кстати, привет всем людям на вечных совещаниях). К сожалению, котеджный  посёлок в 2014 году предлагал только Ваш банк, теперь он с Вами даже не разговаривает, не то что сотрудничает. Искренне желаю всем кто переступит порог этого заведения, бежать прочь. А ежели Вы таки осмелились, то ищите грамотного юриста, этот банк создан не для людей.",1,bad,"03 июля, 2018",promsvjazbank,Ипотека,Наталия,unkn
18,"сломался терминал пластиковых карт. Сделал заявку в службу технической поддержки терминалов. Сегодня уже 2.07.2018. Результат нулевой. Все звонки в службу безрезультатны. Они не могут найти техника, который должен поехать и обменять терминал. Писменная претензия, будет расмотренна через 14 дней. Кому она уже будет нужна? Магазин в аэропорту. Туристов море. Больше половины платежей через терминал. А они просто не могут найти своего техника. Так отвечают в службе поддержки. Кому то еще нужен такой банк?",1,bad,"02 июля, 2018",uralsib,Обслуживание,Вадим,male
19,"Являлась клиентом банка и абсолютно в нем разочарована. Во первых- персонал банка- грубый и абсолютно несведующий . Такое впечатление , что людей набирают с улицы и не обучив сажают за рабочий стол. и эта проблема не одного отделения . Я  обращалась в два отдееления г. Самары и в обоих одинаковая картина. Первое мое обращение было связано с оформлением кредиита- мне ПОЛТОРА часа заполняли заявку . Менеджер то и дело обращался за помощью к своей непосредственной начальнице- та вместо того, чтобы сесть рядом и вместе с ней составить постоянно на нее фыркала (отделение ЭНЕРГИЯ по ул. Стара Загора Самара). В итоге мне не одобрили кредит по непонятным причинам а взамен предложили кредитную карту на 10000 по 29 % . Причем почти год назад я положила на сберегательный счет ВТБ 100000 а потом постепенно пополняла его, когда я открывала этот счет мне обещали 8 % , потом без моего согласия процент снизили до 7, в итоге ам не то что 8 или 7 , вообще начислили копейки какието. А кредит 10000 несчастны- под 29 %.  Причем в личном кабинете я не вижу выписок по начислению процентов по сбер. счету как это происходит в других нормальных банках. Также я обращалась пару раз в отделение на ул. Революционной (пересечение с ул. Гагарина) по поводу оплаты ууслуг. Нужно было оплатить услуги Агентства ""ВИЗИТ"", которое также является клиентом банка. Первый раз меня отфутболили так как им было просто лень оформлять платеж через личный кабинет причем людей кроме меня в отделении не было, пока я не стала ругаться и требовать руководителя дело не сдвинулось. Девушка с бейджем на котором было написано СТАРШИЙ ФИНАНСОВЫЙ  МЕНЕДЖЕР  после моего требования вдруг сменила гримассу недовольную на натянутую улыбку и произвела расчет. Но времени этот футбол занял минут сорок. А это простоая финансовая операция, за которую банк взимает комиссию! Через месяц пришла в это же отделение за тем же, правда в этот раз мне никто не хамил, но началась таже картина-  из кассы- пройдите к менеджеру- менеджер- необученная девочка минут двадцать пыталась что то сделать, в итоге выяснилось что она делает не то что надо,   ее руководитель опять таки ( может это конечно у вас такой стиль обучения) вместо того чтобы сесть рядом и показать как это делается отмахивалась от нее какими то обрывистыми указаниями, минут пятнадцать это заняло, потом меня отправили к администратору оплчивать через личный кабинет в планшете, администратор попытался взять логин и пароль, но банкомат сказал что операция не возможна, меня опять отправили к предыдущему менеджеру, тот отправил к админу, та отправила к другому менеджеру, та наконец то выдала мне логин и пароль, и отправила к администратору опять, админин протянула мне планшет, я начала менять пароль ииии , что Вы думаете- у них  сломался планшет, а он ЕДИНСТВЕННЫЙ на все отделение. Конечно, скажите Вы, как и менеджера Вашего банка, Вы можете спокойно оплатить дома через личный кабинет со своего компа, НО! мне нужно срочно перевести деньги, ехать в другой конец города до дома я не могу. А для чего тогда простите эти отделения банка с кучей бестолковых ничего незнающих менеджеров и операторов, которые самую простейшую операцию не могут провести! Ужасный, отвратительный банк, а позиционирует себя чуть ли не вторым главным банком в России. ПОЗОР! Не вводите людей в заблуждение, представляйтесь просто как онлайн касса, с переводом платежей с компа клиента, с выдачей кредита по бешеные проценты, и с минимальной ставкой по депозитам.",1,bad,"26 июня, 2018",vtb,Обслуживание,Наталия,unkn
20,"Здравствуйте мы организация, разговаривать с вашими операторами по технической поддержке просто не возможно, сплошные хамы, которые не уважают клиентов БИНБАНКА, я званила с номера телефона 8 (928) 145-88-** в 13.11 на номер 8 (800) 500-99-99, этот звонок один из многих по поводу некорректного общения с клиентами. Пожалуйста займитесь своим персоналом, потомучто наши организации, а у нас их две обслуживается в вашем банке, готовы поменять банк!!!",1,bad,"26 июня, 2018",binbank,Обслуживание,Марина,female
21,"Совокбанк карту Халва раздает обманным путем, называя их картами рассрочки. Наглый обман клиентов со стороны банка. Подавала онлайн-заявку на эту самую карту рассрочки Халва. Стали слать смс-ки: Поздравляем, тыры-пыры, предварительно одобрен лимит... Привезли ДОГОВОР с установленным лимитом 75 тыс.р. + карту с 10 копеечным лимитом, сказав , что в течение 3 дней указанная в договоре сумма поступит на карту. Поверила и подписала договор. Заметьте, это не предварительный какой-то документ, а договор, в котором указаны Индивидуальные условия Договора потребительского кредита. &lt;п.1 Лимит кредитования при открытии договора потребительского кредита 75 тыс р.&gt; и т.д. Ознакомившись,под этими условиями я ставлю подпись. Должна сказать, в заявке-анкете, привезенном вместе с договором , указан представитель банка С-ов Петр Борисович, но документы мне были переданы через курьера, в обмен на документы с картой мной были переданы соответственно полные персональные данные и фото . Хотя в общих условиях банковского договора указано, что банк не пользуется услугами посредников. Вообщем, сплошное вранье со стороны банка и их сотрудников. Далее было ""весело""...на горячей линии операторы каждый раз называли разные сроки поступления лимита -до 3 дней, до 7 дней, до 10 дней и т.д. Сходила ногами в один из офисов-на Заводской,20, показала документы,специалист подтвердила, что все верно и раз в договоре прописана сумма- лимит этот уже одобрен и поступит в течение 3 дней. Однако никакие 75 тыс на карту не поступили. Так как была запланирована покупка в магазине-партнере, решила еще раз уточнить о статусе лимита - уже в другом офисе банка- на ул.8Марта,13. Сотрудница, проверив мои данные , сообщила, что мне НЕ одобрен лимит. То есть банк заполучив обманным путем персональные данные клиента, подписанный договор кабы с одобренным лимитом, по факту втюхивает десятикопеечную карту и далее начинает морочить голову, ""водить за нос"" про какие-то разные сроки,вплоть до 90 дней- а далее мол несите справку о доходах и т.д. Чистой воды мошенничество. Заявка одобряется или не одобряется ДО подписания договора. Зачем привозить карту клиенту и тем более предоставить на подпись договор,в котором указана сумма 75 тр, как оказалось, не одобренного лимита?</strong> Совокбанк, отвечайте за свои незаконные действия! Я вам категорически запрещаю использовать каким-либо образом мои персональные данные, полученные вами умышленно обманным путем. В Центробанк и др.надзорные органы я уже направила обращение по данному факту.",1,bad,"23 июня, 2018",sovkombank,Кредитные карты,Жертва,unkn
